TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,MAIN_ADDRESS,LATITUDE,LONGITUDE
Co-op for sale,1274000,3,2,2184.207862,"111 E 36th St # 5ABNew York, NY 10016",40.7482245,-73.9795398
Co-op for sale,349000,2,1,2184.207862,"83-75 118 St Unit 2IKew Gardens, NY 11415",40.7052273,-73.8336358
House for sale,2500000,3,2.373860858,2184.207862,"1203 8th AveBrooklyn, NY 11215",40.6637132,-73.9806843
Pending,1250000,1,1,2184.207862,"17 W 10th St Apt 3NManhattan, NY 10011",40.7340094,-73.9963862
Townhouse for sale,2495000,8,8,5374,"211 W 252nd St Unit TownhouseBronx, NY 10471",40.8980177,-73.8977004
Co-op for sale,749900,3,1,830,"51 W 106th St Apt 3DNew York, NY 10025",40.798921,-73.961553
House for sale,1399900,4,4,3149,"292 Raritan AveStaten Island, NY 10305",40.5900537,-74.0906619
Condo for sale,948888,2,2,950,"115 96th St Apt 6ABrooklyn, NY 11209",40.6163216,-74.0374941
Pending,775000,4,2,1230,"92-19 241st StBellerose, NY 11426",40.7258337,-73.7268795
House for sale,475000,3,2,1280,"912 Cranford AveBronx, NY 10466",40.9034885,-73.8435964
Condo for sale,2595000,3,3,1449,"200 E 94th St Apt 2610Manhattan, NY 10128",40.7833546,-73.9499982
Multi-family home for sale,1199000,3,1,2726,"354 Buel AveStaten Island, NY 10305",40.5837427,-74.0909372
Condo for sale,750000,1,1,654,"129 Meserole St Apt 3BBrooklyn, NY 11206",40.708157,-73.944452
Condo for sale,713000,2,2,1040,"217 Bay 49th St Unit 3ABrooklyn, NY 11214",40.5855131,-73.9883977
Co-op for sale,300000,1,1,2184.207862,"64-09 39 Ave Unit 1Woodside, NY 11377",40.7464499,-73.89982
Co-op for sale,2695000,3,3,2184.207862,"316 W 79th St Apt 7WManhattan, NY 10024",40.7843128,-73.9814804
Co-op for sale,450000,2,2,2184.207862,"254-15 74 Ave Unit 1STGlen Oaks, NY 11004",40.7475547,-73.718359
Co-op for sale,699000,1,1,2184.207862,"760 W End Ave Apt 6CNew York, NY 10025",40.7959993,-73.9723278
Townhouse for sale,10950000,8,8,9555,"350 W End AveNew York, NY 10024",40.7826176,-73.9820502
Co-op for sale,225000,1,1,2184.207862,"269-10 Grand Central Pkwy Unit 9PFloral Park, NY 11005",40.7577974,-73.7159601
Condo for sale,5925000,3,4,2539,"30 Front St Unit 15ABrooklyn, NY 11201",40.7022,-73.990838
Co-op for sale,225000,1,1,2184.207862,"269-10 Grand Central Pkwy Unit 9PFloral Park, NY 11005",40.7577974,-73.7159601
Condo for sale,5925000,3,4,2539,"30 Front St Unit 15ABrooklyn, NY 11201",40.7022,-73.990838
Co-op for sale,255000,1,1,2184.207862,"245-18 62nd Ave Unit UpperLittle Neck, NY 11362",40.755562,-73.7316684
Multi-family home for sale,2500000,12,2.373860858,4140,"1694 64th StBrooklyn, NY 11204",40.6210191,-73.9921739
House for sale,2095000,4,4,3223,"166-21 Goethals AveJamaica, NY 11432",40.7200361,-73.8007029
House for sale,10250000,7,6,5200,"1211 Park AveNew York, NY 10128",40.7854792,-73.9528586
Co-op for sale,750000,1,1,2184.207862,"200 Congress St Apt 5DBrooklyn, NY 11201",40.6880273,-73.9950123
Townhouse for sale,2999000,9,8,5560,"1937 Madison Ave Unit TownhouseManhattan, NY 10035",40.8052328,-73.9407352
Co-op for sale,199000,3,1,650,"207 Ocean Pkwy Ste 1HBrooklyn, NY 11218",40.6449836,-73.9738362
Multi-family home for sale,1250000,7,3,1800,"2528 West StBrooklyn, NY 11223",40.58761,-73.9698943
Co-op for sale,2425000,2,2,1300,"50 E 10th St Apt 6BManhattan, NY 10003",40.731874,-73.9921379
Pending,205000,1,1,660,"5921 Calloway St Apt 2UCorona, NY 11368",40.7376662,-73.8566546
Co-op for sale,2500000,5,6,3860,"870 United Nations Plaza Plz Units 37 & 38CManhattan, NY 10017",40.7524819,-73.9654633
Co-op for sale,3499000,6,8,6000,"190 E 72nd St Units 23C & 24ABCManhattan, NY 10021",40.7698703,-73.9611404
Co-op for sale,649000,1,2,1000,"45 Sutton Pl S Apt 14GManhattan, NY 10022",40.7556274,-73.9614685
Pending,729000,2,1,2184.207862,"193 Bleecker St Apt 12BNew York, NY 10012",40.7293904,-74.0013331
Multi-family home for sale,998500,3,2,2184.207862,"929 Rogers AveBrooklyn, NY 11226",40.6476837,-73.9519338
Multi-family home for sale,765000,4,2,1152,"858 E 223rd StBronx, NY 10466",40.8847302,-73.8563591
Condo for sale,599000,2,2,705,"37-32 89th St Unit 1BJackson Heights, NY 11372",40.7494499,-73.8778676
Condo for sale,11500000,5,5,5276,"39 Lispenard St Unit 3RDFLOORManhattan, NY 10013",40.7198832,-74.0033836
Co-op for sale,595000,1,2,2184.207862,"465 Park Ave Unit 9ENew York, NY 10022",40.761641,-73.9702246
Co-op for sale,675000,1,1,2184.207862,"1270 Fifth Ave Unit 12JManhattan, NY 10029",40.7957847,-73.9498024
Multi-family home for sale,949000,8,3,3500,"90 Fillmore StStaten Island, NY 10301",40.6445278,-74.0913961
Condo for sale,729000,2,2,950,"149-06 Northern Blvd Unit 303Flushing, NY 11354",40.7650102,-73.8167757
Contingent,895000,2,1,520,"321 W 82nd St Apt 8New York, NY 10024",40.7868879,-73.9805511
Multi-family home for sale,2449000,3,2.373860858,3000,"46 Pulaski StBedford Stuyvesant, NY 11206",40.6921191,-73.9498754
Co-op for sale,399999,2,1,2184.207862,"83-80 118th St Unit 5EKew Gardens, NY 11415",40.7047878,-73.8344551
Co-op for sale,397000,2,1,1000,"84-20 51 Ave Unit 2BElmhurst, NY 11373",40.7381747,-73.8785246
Townhouse for sale,950000,2,1,1800,"219 26th StBrooklyn, NY 11232",40.6594527,-73.9975913
Condo for sale,3995000,4,3,2578,"171 W 57th St Apt 8CNew York, NY 10019",40.7655712,-73.979561
Co-op for sale,599000,1,1,780,"8901 Shore Rd Apt 7EBrooklyn, NY 11209",40.6230753,-74.0403471
Condo for sale,1999999,4,3,2729,"50 Pine St Apt 2New York, NY 10005",40.7069134,-74.0085778
Co-op for sale,3370000,2,2,2184.207862,"20 E 9th St # 14JNew York, NY 10003",40.7321377,-73.9947952
Townhouse for sale,6995000,4,5,4187,"92 Amity StBrooklyn, NY 11201",40.6894191,-73.9977098
House for sale,1598000,4,4,2184.207862,"63-31 136 StFlushing, NY 11367",40.7392152,-73.8301205
Condo for sale,699000,2,2,1030,"147-48 Roosevelt Ave Unit 2CFlushing, NY 11354",40.7627559,-73.8168695
Co-op for sale,265000,3,1,650,"3101 Ocean Pkwy Apt 6TBrooklyn, NY 11235",40.5757325,-73.9679335
House for sale,1699000,5,3,2488,"134 Beaumont StBrooklyn, NY 11235",40.5786214,-73.9515728
Pending,1098000,4,4,2184.207862,"213-07 28th AveBayside, NY 11360",40.7770737,-73.7760771
Contingent,960000,1,1,834,"133 Water St Apt 12DBrooklyn, NY 11201",40.7032891,-73.9891782
Condo for sale,1086300,2,1,780,"203 W 81st St Apt 4ENew York, NY 10024",40.7847793,-73.9778528
Multi-family home for sale,859000,6,4,2820,"729 E 182nd StBronx, NY 10457",40.8500672,-73.885658
House for sale,945000,2,2,2184.207862,"69-05 65th DrMiddle Village, NY 11379",40.7154822,-73.8862242
Condo for sale,549000,2,2,2184.207862,"247 MT Hope Pl Apt 1Bronx, NY 10457",40.848222,-73.9043179
Multi-family home for sale,969999,6,4,2184.207862,"3710 Secor AveBronx, NY 10466",40.887362,-73.8321425
House for sale,1649000,8,3,2184.207862,"119 Fenimore StBrooklyn, NY 11225",40.658346,-73.9583816
Condo for sale,2800000,2,2,1412,"230 W 56th St Apt 62BNew York, NY 10019",40.7652485,-73.9824857
Co-op for sale,449000,2,1,2184.207862,"123 E 88th St Apt 1ANew York, NY 10128",40.7810674,-73.954925
Co-op for sale,294500,1,1,2184.207862,"35-45 81 St Unit C1Jackson Heights, NY 11372",40.7505078,-73.8851355
Multi-family home for sale,990000,8,4,3120,"842 Bryant AveBronx, NY 10474",40.8182411,-73.8863072
House for sale,314000,2,1,847,"18 Richmond CtStaten Island, NY 10303",40.6396832,-74.1652748
Co-op for sale,449000,2,1,2184.207862,"123 E 88th St Apt 1ANew York, NY 10128",40.7810674,-73.954925
Multi-family home for sale,1598000,7,2.373860858,2184.207862,"61-17 170th StFresh Meadows, NY 11365",40.7375872,-73.7989142
Co-op for sale,208000,3,1,2184.207862,"76-36 113th St Unit 3FForest Hills, NY 11375",40.7170693,-73.8332429
Co-op for sale,169900,2,1,900,"1430 Thieriot Ave Apt 5KBronx, NY 10460",40.8363523,-73.865036
Co-op for sale,235000,1,1,2184.207862,"65-38 Booth St Unit 6HRego Park, NY 11374",40.7267837,-73.8587799
Co-op for sale,278000,1,1,2184.207862,"125-10 Queens Blvd Unit 2302Kew Gardens, NY 11415",40.7119297,-73.826361
Townhouse for sale,998000,6,2.373860858,2236,"690 Vermont StBrooklyn, NY 11207",40.6623484,-73.8914648
Co-op for sale,6400000,3,4,2184.207862,"14 E 75th St # 4ANew York, NY 10021",40.7737635,-73.9644574
Co-op for sale,385000,2,1,920,"97-40 62nd Dr Unit 3HRego Park, NY 11374",40.7325379,-73.8601516
Co-op for sale,250000,1,1,750,"2241 Plumb 1st St Apt 1NBrooklyn, NY 11229",40.5986758,-73.9325474
Multi-family home for sale,1849000,6,3,2184.207862,"212-15 35th AveBayside, NY 11361",40.7688965,-73.7752498
House for sale,449500,3,2,2184.207862,"266 Soundview AveBronx, NY 10473",40.8112605,-73.855529
Multi-family home for sale,1250000,5,2,2184.207862,"86-08 57th AveElmhurst, NY 11373",40.7324444,-73.8760359
House for sale,1099000,7,3,2322,"188 Conklin AveBrooklyn, NY 11236",40.6438485,-73.9016506
House for sale,1900000,4,2,1400,"13739 75th RdFlushing, NY 11367",40.7230171,-73.8231693
Condo for sale,2500000,2,2,1250,"350 W 42nd St Ph DNew York, NY 10036",40.7578531,-73.9923304
House for sale,1288000,3,3,1696,"9-22 119th StCollege Point, NY 11356",40.788704,-73.84908
Co-op for sale,1150000,1,1,2184.207862,"50 Central Park W Apt 10DNew York, NY 10023",40.7717316,-73.9797209
Condo for sale,825000,3,2,2184.207862,"63-14 Queens Blvd Unit 3LWoodside, NY 11377",40.7407971,-73.9021337
Townhouse for sale,4195000,5,4,2184.207862,"445 Waverly AveBrooklyn, NY 11238",40.6847934,-73.965911
Pending,675000,3,2,1444,"46 Coddington AveStaten Island, NY 10306",40.5712145,-74.1132944
Condo for sale,875000,2,1,922,"1437 Hancock St # BBrooklyn, NY 11237",40.6965975,-73.9071739
Co-op for sale,297000,1,1,2184.207862,"261 Bay 19th St Unit BBrooklyn, NY 11214",40.6013587,-74.0073583
Condo for sale,485000,1,1,575,"62-96 Woodhaven Blvd Unit 5RRego Park, NY 11374",40.7245332,-73.8696876
Co-op for sale,230000,2,1,800,"6200 Riverdale Ave Apt 4HBronx, NY 10471",40.9117719,-73.9024392
House for sale,629000,4,2,2184.207862,"1281 E 223rd StBronx, NY 10466",40.8807198,-73.8445368
Pending,625000,3,2,1040,"108 Howton AveStaten Island, NY 10308",40.557402,-74.148792
Multi-family home for sale,1200000,5,2,2184.207862,"591 Huguenot AveStaten Island, NY 10312",40.5404111,-74.1957141
Townhouse for sale,7550000,5,5,2184.207862,"48 Charles StNew York, NY 10014",40.7348673,-74.0023636
Pending,499000,2,2,1358,"7272 Royce Pl Unit G1-9Brooklyn, NY 11234",40.6248278,-73.909396
Pending,485000,3,2,1200,"2652 Cropsey Ave Apt 14HBrooklyn, NY 11214",40.5883839,-73.9910376
Condo for sale,399000,3,2.373860858,2184.207862,"30-38 29th StQueens, NY 11102",40.7668236,-73.9239725
House for sale,14000000,3,2.373860858,23027,"39 Eldridge StManhattan, NY 10002",40.7157769,-73.99357
Co-op for sale,299000,1,1,2184.207862,"144-44 41st Ave Unit 6AFlushing, NY 11355",40.7607762,-73.8197115
Multi-family home for sale,2200000,6,6,2184.207862,"6402 Fresh Pond RdRidgewood, NY 11385",40.7101745,-73.8995452
Condo for sale,465000,2,2,708,"104-21 39th Ave Unit 212DCorona, NY 11368",40.7511218,-73.8614488
Co-op for sale,278000,1,1,750,"138-28 68th Dr Unit 1AFlushing, NY 11367",40.7306353,-73.8276823
Pending,709000,3,3,2184.207862,"1249 E 87th StBrooklyn, NY 11236",40.6330746,-73.9014669
Condo for sale,685000,2,2,2184.207862,"64-34 Grand Central Pkwy Unit 1BForest Hills, NY 11375",40.7332174,-73.8448704
Co-op for sale,4500000,2,2,1800,"65 Central Park W Apt 12BNew York, NY 10023",40.7727705,-73.9787651
Multi-family home for sale,779000,3,2,1540,"2369 Bragg StBrooklyn, NY 11229",40.5949347,-73.9347766
House for sale,640000,3,2,1224,"944 Duncan StBronx, NY 10469",40.8729069,-73.8596638
Co-op for sale,449000,2,2,1200,"23-45 Bell Blvd Unit 2BBayside, NY 11360",40.7812626,-73.7745671
Co-op for sale,1100000,2,1,2184.207862,"1209 8th Ave Apt 4RBrooklyn, NY 11215",40.6634878,-73.9807302
Condo for sale,550000,3,2.373860858,2184.207862,"702 Ocean Pkwy Apt 1ABrooklyn, NY 11230",40.6310935,-73.9723541
Condo for sale,1899000,3,2,1900,"105 Oceana Dr E Ph 1DBrooklyn, NY 11235",40.5763957,-73.9575654
House for sale,599900,3,2,1204,"3774 Hylan BlvdStaten Island, NY 10308",40.5466066,-74.1406837
Townhouse for sale,22500000,4,2.373860858,4000,"22 Bank StNew York, NY 10014",40.7368312,-74.0024003
House for sale,739000,2,2,1473,"19 Alton PlBrooklyn, NY 11210",40.6241803,-73.9375665
Condo for sale,7995000,3,4,2184.207862,"101 W 67th St Ph 1DNew York, NY 10023",40.7745073,-73.981428
Co-op for sale,1425000,2,2,2184.207862,"124 Thompson St Unit 23/24Manhattan, NY 10012",40.7261696,-74.0013901
Multi-family home for sale,749000,4,2,2184.207862,"154-12 65th AveFlushing, NY 11367",40.7369795,-73.8140379
Condo for sale,548000,1,1,950,"144-85 Roosevelt Ave Unit 5EFlushing, NY 11354",40.7626705,-73.8191386
Condo for sale,950000,1,1,560,"323 E 53rd Street Ter Ste BNew York, NY 10022",40.7564316,-73.9660912
Pending,399000,1,1,2184.207862,"6939A Park Dr E Unit AKew Garden Hills, NY 11367",40.7231998,-73.8267722
Co-op for sale,1460000,2,2,2184.207862,"1060 Park Avenue Ave Unit 2GManhattan, NY 10128",40.7812136,-73.9570373
Co-op for sale,269000,3,1,2184.207862,"144-11 Sanford Ave Unit 6LFlushing, NY 11355",40.7592939,-73.8203855
Condo for sale,1695000,1,2,1072,"70 Washington St Ph RBrooklyn, NY 11201",40.7020349,-73.9899069
Co-op for sale,155000,3,1,2184.207862,"1275 E 51st St Apt 5ZBrooklyn, NY 11234",40.6299057,-73.9265933
Co-op for sale,449000,2,1,764,"261-36 Langston Ave Unit 2NDGlen Oaks, NY 11004",40.7526861,-73.7166669
Pending,825000,2,2,930,"41-18 27th St Apt 1ANew York, NY 11101",40.7515161,-73.9389442
Multi-family home for sale,938000,5,3,1890,"1838 Brown StBrooklyn, NY 11229",40.6065668,-73.9413437
House for sale,690000,2,2,1500,"1060 E 52nd StBrooklyn, NY 11234",40.6342245,-73.9268315
House for sale,1499000,5,2.373860858,2088,"1914 Bay Ridge AveBrooklyn, NY 11204",40.6151781,-73.9901308
Co-op for sale,795000,2,1,2184.207862,"651 Vanderbilt St Apt 7KBrooklyn, NY 11218",40.654461,-73.9744629
Co-op for sale,300000,2,1,800,"2620 Ocean Pkwy Apt 3FBrooklyn, NY 11235",40.5860215,-73.9668364
Condo for sale,1100000,2,2,2184.207862,"77 W 55th St # 2AKNew York, NY 10019",40.7630485,-73.9776229
Condo for sale,5000000,2,2,1780,"641 Fifth Ave Unit 42HNew York, NY 10022",40.7592091,-73.9760875
House for sale,2500000,8,4,6425,"14 Stuyvesant AveBrooklyn, NY 11221",40.6960918,-73.9349507
Condo for sale,425000,1,1,603,"640 Ditmas Ave Apt 29Brooklyn, NY 11218",40.6360061,-73.971649
Co-op for sale,280000,3,1,2184.207862,"25 Tudor City Pl Apt 2006Manhattan, NY 10017",40.7486808,-73.9705383
House for sale,1149000,3,2,1660,"1714 E 29th StBrooklyn, NY 11229",40.6093215,-73.9448683
Co-op for sale,410000,2,2,2184.207862,"110-55 72nd Rd Unit 309Forest Hills, NY 11375",40.7203199,-73.84052
Co-op for sale,268000,1,1,660,"26-25 141 St Unit 5AFlushing, NY 11354",40.7739672,-73.8277862
Co-op for sale,6000000,4,4,2184.207862,"480 Park Avenue Ave Unit 18HManhattan, NY 10022",40.7625546,-73.9703842
Co-op for sale,4650000,3,3,2184.207862,"150 Central Park SNew York, NY 10019",40.7661258,-73.9779145
House for sale,24500000,6,8,8400,"52 E 66th StNew York, NY 10065",40.7675628,-73.967656
Condo for sale,660000,2,2,970,"82-25 Queens Blvd Unit 4AElmhurst, NY 11373",40.7376925,-73.8803546
House for sale,465000,2,2,1048,"12 Maple TerStaten Island, NY 10306",40.5636372,-74.1009652
Condo for sale,1175000,2,2,1072,"90 William St Apt 6CNew York, NY 10038",40.7081041,-74.0074731
Pending,698999,3,2,2184.207862,"149-47 115th StSouth Ozone Park, NY 11420",40.6680173,-73.8253534
Pending,5250000,4,4,2184.207862,"18 Fillmore PlBrooklyn, NY 11211",40.7140169,-73.9587962
House for sale,1078000,3,2,1260,"5848 150th StFlushing, NY 11355",40.7421583,-73.8191116
Co-op for sale,349000,1,1,652,"8301 Ridge Blvd Apt 4DBrooklyn, NY 11209",40.6259955,-74.0323073
Co-op for sale,269995,1,1,2184.207862,"61-20 Grand Central Pkwy Unit C102Forest Hills, NY 11375",40.7379227,-73.8470718
Multi-family home for sale,1590000,7,4,1739,"144 Bay 50th StBrooklyn, NY 11214",40.5859774,-73.9869629
Co-op for sale,4650000,3,3,2184.207862,"150 Central Park SNew York, NY 10019",40.7661258,-73.9779145
Condo for sale,425000,1,1,603,"640 Ditmas Ave Apt 29Brooklyn, NY 11218",40.6360061,-73.971649
Contingent,375000,1,1,900,"10 Bay Street Lndg Apt 1GStaten Island, NY 10301",40.638118,-74.073964
Multi-family home for sale,6999000,6,3,2184.207862,"108 Willow StBrooklyn, NY 11201",40.697795,-73.995861
Co-op for sale,1398000,4,2,2184.207862,"530 Grand St Unit D4C4New York City, NY 10002",40.7147871,-73.9809765
House for sale,750000,3,2,1868,"857 E 37th StEast Flatbush, NY 11203",40.6359284,-73.9409763
Co-op for sale,629000,1,1,2184.207862,"600 W 111th St Unit 2BNew York, NY 10025",40.8048821,-73.966726
House for sale,1150000,3,2,1280,"327 Avenue PBrooklyn, NY 11204",40.6193771,-73.9717704
House for sale,12500000,4,6,7500,"64 E 7th StNew York, NY 10003",40.7273703,-73.9870777
House for sale,699900,3,2,1420,"22 Oakville StStaten Island, NY 10314",40.5986989,-74.1318297
Pending,1098888,2,3,2184.207862,"34 Center DrMalba, NY 11357",40.7899772,-73.828053
Co-op for sale,519000,2,2,1079,"110-35 72 Rd Unit 108Forest Hills, NY 11375",40.7203199,-73.84052
Pending,1200000,3,2.373860858,3280,"1176 Bushwick AveBrooklyn, NY 11221",40.688515,-73.916949
Co-op for sale,279000,1,1,2184.207862,"61-20 Grand Central Pkwy Unit C500Forest Hills, NY 11375",40.7379227,-73.8470718
Multi-family home for sale,1325000,6,4,2184.207862,"29-11 Butler StEast Elmhurst, NY 11369",40.7635384,-73.8628798
House for sale,635000,4,2,1684,"57 Peacock LoopStaten Island, NY 10309",40.5307866,-74.2217959
Contingent,499000,3,2,1450,"173 Wright StStaten Island, NY 10304",40.629123,-74.0811056
Multi-family home for sale,1100000,7,2.373860858,1040,"118 Miller AveBrooklyn, NY 11207",40.6784973,-73.892987
Co-op for sale,199000,1,1,600,"83-52 Talbot St Unit 2GKew Gardens, NY 11415",40.7085553,-73.8279947
Co-op for sale,550000,2,2,1012,"333 E 119th St Apt 6CManhattan, NY 10035",40.7986288,-73.9351095
Co-op for sale,518000,3,2,2184.207862,"3304 Junction Blvd Apt 4SJackson Heights, NY 11372",40.7568027,-73.8736566
Townhouse for sale,26000000,8,6,10940,"23 E 67th StNew York, NY 10065",40.7688699,-73.9678746
Condo for sale,1250000,2,2,1057,"575 4th Ave Apt 10DBrooklyn, NY 11215",40.6655513,-73.9922171
Townhouse for sale,8750000,3,4,4275,"133 E 91st StNew York, NY 10128",40.7829849,-73.9535589
Condo for sale,1465000,2,1,1107,"61 N Henry St Fl 4Brooklyn, NY 11222",40.7213959,-73.9430921
Co-op for sale,278000,1,1,2184.207862,"39-82 65th Pl Unit 4FWoodside, NY 11377",40.7439196,-73.8992843
Co-op for sale,469000,2,1,2184.207862,"21-41 34th Ave Unit 5DAstoria, NY 11106",40.7623991,-73.9321744
Co-op for sale,225000,1,1,2184.207862,"35-41 205 St Unit 291Bayside, NY 11361",40.7667099,-73.78272
Multi-family home for sale,1100000,4,3,3664,"1893 Longfellow AveBronx, NY 10460",40.8389133,-73.8826337
Multi-family home for sale,1960000,8,7,2184.207862,"71-60 163rd StFresh Meadows, NY 11365",40.7286837,-73.8065818
Pending,799000,4,2,1560,"62 Daleham StBrooklyn, NY 10308",40.5642806,-74.1530498
Multi-family home for sale,949000,5,3,2184.207862,"4551 Kings HwyBrooklyn, NY 11234",40.6290233,-73.9330774
Multi-family home for sale,799000,4,2,1716,"3032 Brighton 1st StBrooklyn, NY 11235",40.5778456,-73.9670934
House for sale,699000,3,3,1280,"20 Keen CtBrooklyn, NY 11229",40.5877725,-73.9253044
House for sale,900000,3,2,1248,"917 Hylan BlvdStaten Island, NY 10305",40.5981713,-74.0732699
Multi-family home for sale,1100000,4,3,3664,"1893 Longfellow AveBronx, NY 10460",40.8389133,-73.8826337
Multi-family home for sale,1235000,8,5,2538,"235-18 147 RdRosedale, NY 11422",40.6565969,-73.745832
Co-op for sale,3295000,2,2,2184.207862,"11 E 92nd St Apt 1Manhattan, NY 10128",40.7852991,-73.9571579
Co-op for sale,595000,2,1,2184.207862,"328 W 96th St Apt 5CNew York, NY 10025",40.7955171,-73.9745834
Condo for sale,269000,3,1,485,"2900 Ocean Ave Apt 5NBrooklyn, NY 11235",40.590145,-73.9499887
Townhouse for sale,548000,2,2,1354,"17 Bianca CtStaten Island, NY 10312",40.5646084,-74.184535
Co-op for sale,6995000,4,4,2184.207862,"1050 Fifth Ave Apt 17DNew York, NY 10028",40.7816743,-73.9600313
Co-op for sale,1150000,2,1,900,"114 Garfield Pl Apt 1RBrooklyn, NY 11215",40.6737554,-73.9803629
Contingent,595000,1,1,2184.207862,"10 Park Ave Unit 11KNew York, NY 10016",40.7473555,-73.9813841
Condo for sale,799000,5,2,1500,"1025 45th St Unit 4Brooklyn, NY 11219",40.6409434,-73.9953527
Condo for sale,2110000,2,2,1326,"327 E 22nd St Unit 6AManhattan, NY 10010",40.7367893,-73.9799267
Townhouse for sale,4200000,5,4,4480,"164 W 88th St Unit TownhouseManhattan, NY 10024",40.788437,-73.9731887
Multi-family home for sale,450000,4,2,2184.207862,"93-04 177th StJamaica, NY 11433",40.7065602,-73.7835572
Co-op for sale,385000,1,1,779,"1625 Emmons Ave Apt 4YBrooklyn, NY 11235",40.5834583,-73.9522667
House for sale,649999,4,1,2184.207862,"118-10 202nd StSaint Albans, NY 11412",40.6936825,-73.7495584
Condo for sale,539000,2,1,708,"307 72nd St Apt 4BBrooklyn, NY 11209",40.633546,-74.0266446
Pending,550000,3,2,1292,"21 Locust CtStaten Island, NY 10309",40.5482041,-74.2109853
House for sale,1525000,3,2,1650,"1139 72nd StBrooklyn, NY 11228",40.6242186,-74.0088847
Multi-family home for sale,2100000,6,2,2720,"1068 51st StBrooklyn, NY 11219",40.6366874,-73.9984062
House for sale,625000,3,2,1944,"2249 Seward AveBronx, NY 10473",40.8216537,-73.8465699
House for sale,728888,4,3,1379,"135-16 221st StSpringfield Gardens, NY 11413",40.6767141,-73.7492797
Co-op for sale,739000,2,1,2184.207862,"529 E 84th St Apt 2BNew York, NY 10028",40.7741621,-73.9467221
Multi-family home for sale,1290000,3,2,2184.207862,"45-01 Utopia PkwyFlushing, NY 11358",40.7554032,-73.7924388
Multi-family home for sale,675000,3,2,1750,"756 Calhoun AveBronx, NY 10465",40.8266591,-73.824848
Contingent,950000,3,2,1364,"221 Edinboro RdStaten Island, NY 10306",40.5781512,-74.1348919
House for sale,550000,3,2,1221,"10229 Davenport CtHoward Beach, NY 11414",40.653784,-73.8286059
House for sale,1099999,3,1,1100,"19-36 75th StEast Elmhurst, NY 11370",40.7709973,-73.8950248
Multi-family home for sale,906300,8,4,3116,"1017 Dumont AveBrooklyn, NY 11208",40.668499,-73.8810259
Co-op for sale,5900000,3,4,3000,"410 W 24th St # 18BCENew York, NY 10011",40.7472085,-74.0013378
Condo for sale,2700000,3,3,1689,"555 W 59th St Apt 19BManhattan, NY 10019",40.7715251,-73.9895943
House for sale,659000,4,2,2184.207862,"130-35 145th StJamaica, NY 11436",40.6695117,-73.7942558
Condo for sale,898000,1,2,1340,"215 Cornelia St Unit 1ABrooklyn, NY 11221",40.6928399,-73.9131908
Co-op for sale,189990,1,1,2184.207862,"151-31 88th St Unit 2FHoward Beach, NY 11414",40.6668092,-73.8471901
Multi-family home for sale,2150000,6,2,2184.207862,"12-11 Jackson AveLong Island City, NY 11101",40.7438369,-73.9505652
Co-op for sale,550000,3,1,2184.207862,"24 5th Ave Apt 510Manhattan, NY 10011",40.7330596,-73.9959886
Co-op for sale,2100000,3,3,1968,"285 Riverside Dr Apt 11GNew York, NY 10025",40.7989206,-73.9723967
Pending,1088888,3,4,2550,"163-36 98th StHoward Beach, NY 11414",40.6520565,-73.8335563
House for sale,499000,5,2,1236,"3636 Barnes AveBronx, NY 10467",40.879318,-73.8613522
Co-op for sale,1795000,4,3,2184.207862,"622 W 114th St Apt 53New York, NY 10025",40.80699,-73.966129
Condo for sale,2300000,2,2,1163,"515 E 72nd St Apt 29DNew York, NY 10021",40.7666839,-73.9527719
Pending,749000,3,3,1368,"90-47 176th StJamaica, NY 11432",40.7088867,-73.7844919
Condo for sale,594900,2,1,729,"306 Lincoln Rd Apt 2LBrooklyn, NY 11225",40.6612226,-73.9525371
Townhouse for sale,1399000,4,2,1700,"1746 Bergen StBrooklyn, NY 11233",40.6745279,-73.9243055
Condo for sale,639000,2,2,800,"144-49 Barclay Ave Unit 7BQueens, NY 11355",40.7603904,-73.8194905
Multi-family home for sale,1995000,9,3,3600,"673 Knickerbocker Ave Unit BldgBrooklyn, NY 11221",40.6950726,-73.9113766
Multi-family home for sale,1250000,5,2,2376,"2337 Foster AveDitmas Park, NY 11226",40.6383413,-73.9547608
Contingent,275000,3,1,363,"88 Brooklyn Ave Apt A6Brooklyn, NY 11216",40.6770084,-73.9444319
Co-op for sale,3495000,3,3,2184.207862,"129 E 69th St Apt 7BNew York, NY 10021",40.7687653,-73.9638365
Pending,325000,2,1,2184.207862,"36 Hamilton Ave Apt 6KStaten Island, NY 10301",40.6449121,-74.0787385
Co-op for sale,500000,3,2,2184.207862,"142 Joralemon St Ste 14DBrooklyn, NY 11201",40.6927721,-73.9936086
Condo for sale,349000,3,1,500,"2 Bay Club Dr Apt 15Z4Bayside, NY 11360",40.778411,-73.781048
Multi-family home for sale,3195000,4,4,3612,"26 4th PlBrooklyn, NY 11231",40.6784683,-74.0011264
Townhouse for sale,24950000,7,5,12000,"6 E 69th StNew York, NY 10021",40.7700688,-73.9679334
House for sale,709999,4,2,2184.207862,"116-40 148th StJamaica, NY 11436",40.6811881,-73.793438
House for sale,774900,3,2,1335,"226 Fingerboard RdStaten Island, NY 10305",40.6058796,-74.0681791
Multi-family home for sale,988000,3,2,3061,"251 Kelly BlvdStaten Island, NY 10314",40.5838227,-74.1568196
